Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Corbin Carroll","ARI",146,630,548,142,78,26,12,27,100,88,67,3,132,9,5,2,,33,7,0.258546,0.1068,0.209386,0.510064,0.346513,0.493899,0.358725,0.840412,0.235353,8.12747,0.291956,2.09878,2.88159,97.7994,23.3601,130.339,4.98038,4.7768,27.633869647979736,-1.7731976509094238,4.79037,14.850000381469727,,,,,,,915.9,6.273287671,915.9,6.273287671,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Elly De La Cruz","CIN",156,672,598,157,95,31,6,25,97,89,66,6,173,4,3,1,,41,11,0.262256,0.0982061,0.257854,0.38086,0.337926,0.459195,0.341339,0.797121,0.196938,7.38593,0.328156,1.68633,2.67193,94.8337,15.4317,114.533,4.35826,0.927093,15.933422565460205,7.877092361450195,4.72358,8.5600004196167,,,,,,,897.4,5.752564102,897.4,5.752564102,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Geraldo Perdomo","ARI",159,686,581,154,106,30,4,15,96,72,83,1,88,8,6,7,,23,6,0.266039,0.12166,0.1289,0.943834,0.362863,0.408179,0.340009,0.771042,0.14214,5.85468,0.288708,0.34546,0.805843,96.0687,15.0125,117.518,1.1513,0.443354,15.39445436000824,7.79335343837738,4.70752,76.47000122070312,,,,,,,832.1,5.233333333,832.1,5.233333333,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Pete Crow-Armstrong","CHC",149,644,591,150,88,30,5,26,88,92,35,1,155,9,6,4,,34,9,0.253587,0.054373,0.24032,0.226253,0.302589,0.455887,0.32424,0.758476,0.2023,7.10215,0.297474,0.812078,2.15345,81.9418,5.84826,109.492,2.96552,11.9331,10.21074104309082,14.233111143112183,4.69306,32.189998626708984,,,,,,,780.3,5.236912751,780.3,5.236912751,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Junior Caminero","TBR",154,665,610,165,96,29,1,39,89,116,46,1,127,4,5,0,,6,2,0.270389,0.0688869,0.190604,0.361414,0.322897,0.513223,0.355299,0.836121,0.242834,3.34424,0.279555,-0.0633625,-0.338453,101.383,22.808,128.413,-0.401816,-1.57242,21.86812198162079,0.2025836706161499,4.59986,16.739999771118164,,,,,,,926.2,6.014285714,926.2,6.014285714,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Ketel Marte","ARI",147,637,554,152,91,31,3,27,94,86,70,6,104,7,5,1,,6,1,0.273566,0.109412,0.162694,0.672501,0.358939,0.486667,0.361582,0.845605,0.213101,4.34912,0.29034,-0.0850714,-0.494264,100.364,25.0975,132.296,-0.579336,-0.213246,23.80372667312622,-0.13824550807476044,4.5896,32.709999084472656,,,,,,,897.6,6.106122448,897.6,6.106122448,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Patrick Bailey","SFG",133,525,473,108,74,20,2,11,53,53,41,0,137,3,5,2,,3,0,0.227901,0.0785849,0.260481,0.301692,0.291173,0.349045,0.282253,0.640219,0.121144,3.81566,0.293508,-0.333101,-0.385411,48.8847,-13.1244,81.3308,-0.718512,12.1732,-12.330673456192017,22.42320728302002,4.57261,745.3900146484375,,,,,,,442.3,3.325563909,442.3,3.325563909,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"William Contreras","MIL",152,610,531,143,94,29,1,20,80,77,71,4,116,4,4,0,,6,2,0.270079,0.11667,0.189735,0.614911,0.357739,0.439931,0.346453,0.79767,0.169852,3.57738,0.309408,-0.513625,-0.699923,88.617,16.5408,123.671,-1.21355,-0.068014,15.900253295898438,7.481986157596111,4.49865,54.900001525878906,,,,,,,778.4,5.121052631,778.4,5.121052631,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Wyatt Langford","TEX",149,644,558,144,87,29,2,25,90,80,75,3,145,6,4,1,,22,6,0.257453,0.116811,0.225886,0.517126,0.34902,0.453371,0.347026,0.802391,0.195918,5.2642,0.302408,0.53987,0.92602,93.8558,17.7622,125.002,1.46589,4.55558,20.44341766834259,1.1555829048156738,4.47765,41.5099983215332,,,,,,,846.9,5.683892617,846.9,5.683892617,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Trea Turner","PHI",149,644,591,167,114,30,4,19,92,73,42,1,118,6,4,2,,28,5,0.282596,0.0657175,0.183243,0.358635,0.334488,0.442474,0.336223,0.776962,0.159877,6.51006,0.323321,1.41708,2.55108,88.2074,12.1138,114.298,3.96815,0.198051,14.881693363189697,7.098051533102989,4.44095,26.219999313354492,,,,,,,815.8,5.475167785,815.8,5.475167785,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Yordan Alvarez","HOU",130,560,475,140,81,28,1,30,83,85,71,11,97,7,6,1,,3,1,0.294391,0.126975,0.172581,0.735741,0.39065,0.544746,0.393424,0.935396,0.250355,3.32746,0.31133,-0.755013,-0.847969,102.71,36.5412,156.134,-1.60298,-0.0978913,35.44719314575195,-11.897890515625477,4.38139,32.91999816894531,,,,,,,914.8,7.036923076,914.8,7.036923076,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Corey Seager","TEX",131,567,495,133,81,26,0,26,77,78,63,11,103,5,4,0,,3,0,0.268251,0.110845,0.182,0.60904,0.353907,0.478571,0.353459,0.832478,0.210321,2.54973,0.288948,-0.870398,-0.58899,85.5955,18.6001,129.434,-1.45939,0.593381,18.21068048477173,4.918381035327911,4.36304,97.55999755859375,,,,,,,779.3,5.948854961,779.3,5.948854961,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Bo Bichette","NYM",152,658,608,177,122,34,1,19,81,86,42,1,107,4,4,1,,6,3,0.290782,0.0635865,0.162797,0.390586,0.338434,0.446873,0.339483,0.785308,0.156092,3.39326,0.324292,0.267116,-1.21098,91.8666,14.1188,121.443,-0.943868,4.26081,15.77890431880951,4.86081326007843,4.35151,97.01000213623047,,,,,,,807.1,5.309868421,807.1,5.309868421,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Matt Chapman","SFG",156,672,583,141,81,31,2,27,89,84,77,1,165,8,4,0,,9,3,0.24152,0.114351,0.246189,0.464484,0.335847,0.438646,0.336871,0.774493,0.197126,4.29235,0.288935,-0.0757015,-0.471887,92.3957,12.9937,118.746,-0.547588,3.38719,14.382561802864075,5.787185430526733,4.35108,164.75,,,,,,,825.4,5.291025641,825.4,5.291025641,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Jackson Merrill","SDP",146,630,576,155,97,29,5,24,82,84,42,2,121,4,5,3,,7,3,0.269646,0.0664568,0.191434,0.347153,0.320793,0.462229,0.335139,0.783022,0.192583,4.87544,0.30137,1.039,-0.707397,85.7353,11.2959,118.905,0.331601,4.79609,14.447427898645401,6.846086263656616,4.32309,70.95999908447266,,,,,,,773.1,5.295205479,773.1,5.295205479,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Zach Neto","LAA",154,665,595,152,88,34,1,28,94,85,46,4,159,18,4,3,,28,9,0.254999,0.0689783,0.23928,0.288274,0.325125,0.458861,0.33669,0.783987,0.203863,5.66364,0.299866,0.47352,0.959076,91.3356,12.7607,115.299,1.4326,-1.38573,13.423341155052185,5.739274501800537,4.30233,27.290000915527344,,,,,,,843.7,5.478571428,843.7,5.478571428,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Adley Rutschman","BAL",141,566,495,126,79,27,1,19,68,68,64,2,89,3,4,0,,1,0,0.254529,0.112556,0.157424,0.714986,0.340377,0.426509,0.333822,0.766886,0.17198,2.50049,0.274337,-0.369172,-0.819469,76.4746,9.55003,115.946,-1.18864,2.77147,9.45628309249878,8.846467971801758,4.00777,149.5,,,,,,,676.1,4.79503546,676.1,4.79503546,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Willy Adames","SFG",157,679,596,141,85,28,1,27,85,87,72,2,166,4,6,0,,12,4,0.23639,0.106658,0.244046,0.43704,0.320962,0.422291,0.322751,0.743253,0.185901,4.19534,0.27928,0.0864758,-0.186297,85.574,5.34496,109.073,-0.0998214,2.0957,7.201747618615627,9.370695114135742,4.00686,129.3300018310547,,,,,,,773.9,4.929299363,773.9,4.929299363,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Nico Hoerner","CHC",154,665,607,171,128,30,3,9,79,65,43,1,62,10,4,1,,27,7,0.281193,0.0640458,0.0929927,0.688718,0.336178,0.387182,0.317832,0.72336,0.105989,5.53546,0.29867,0.776233,1.56302,81.1539,2.57906,105.102,2.33925,7.68854,6.360824108123779,10.163535356521606,3.95428,105.1500015258789,,,,,,,730,4.74025974,730,4.74025974,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Gabriel Moreno","ARI",115,456,406,113,80,21,1,11,54,56,43,2,77,4,3,0,,4,2,0.279145,0.0946716,0.169755,0.557696,0.351191,0.421441,0.336472,0.772632,0.142295,3.55738,0.31814,0.308367,-0.838369,62.5771,8.67358,115.095,-0.530001,5.44994,7.631939172744751,13.424942970275879,3.93424,178.5399932861328,,,,,,,539.8,4.693913043,539.8,4.693913043,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Bryce Harper","PHI",154,665,574,157,91,37,0,29,90,95,81,8,143,5,5,0,,11,3,0.27353,0.121584,0.215225,0.564915,0.365435,0.492175,0.365784,0.85761,0.218645,3.47409,0.314065,0.1699,-0.292808,107.044,28.4693,134.549,-0.122908,0.517829,27.106941178441048,-11.457171559333801,3.8648,47.38999938964844,,,,,,,955.6,6.205194805,955.6,6.205194805,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Dansby Swanson","CHC",159,686,619,149,98,27,2,22,82,80,58,1,174,4,4,1,,16,4,0.241001,0.0852612,0.253943,0.33575,0.308515,0.398261,0.308172,0.706776,0.15726,4.90793,0.298207,0.758538,0.53796,78.3366,-2.71962,98.4853,1.2965,6.66172,0.06493532657623291,14.011716365814209,3.77534,149.85000610351562,,,,,,,717.1,4.510062893,717.1,4.510062893,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Alex Bregman","CHC",156,672,584,146,93,29,1,23,87,82,74,2,96,9,5,1,,3,1,0.250078,0.109718,0.142995,0.767285,0.340524,0.421192,0.332764,0.761716,0.171114,3.03966,0.262268,-0.637295,-1.06066,90.1553,10.7533,115.332,-1.69796,0.904023,10.513034582138062,3.30402272939682,3.70112,118.93000030517578,,,,,,,791.5,5.073717948,791.5,5.073717948,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Maikel Garcia","KCR",154,665,598,161,111,33,5,13,87,69,57,0,100,2,5,3,,27,7,0.269264,0.0851697,0.150207,0.567014,0.331682,0.404269,0.321634,0.735952,0.135006,6.102,0.301928,0.582,1.30104,83.2067,4.6318,103.089,1.88304,6.17723,4.303813934326172,8.652225971221924,3.66732,67.76000213623047,,,,,,,758.7,4.926623376,758.7,4.926623376,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Austin Riley","ATL",156,672,608,159,95,31,2,30,88,93,51,1,174,8,5,0,,3,1,0.261243,0.0758558,0.258829,0.293073,0.323955,0.469968,0.340658,0.793924,0.208725,3.29314,0.314579,-0.0774272,-0.931816,94.4621,15.0601,118.476,-1.00924,-2.64074,13.706045985221863,-0.6407421827316284,3.62421,64.13999938964844,,,,,,,845.6,5.42051282,845.6,5.42051282,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Masyn Winn","STL",149,644,587,150,103,30,2,15,79,68,45,0,114,6,5,2,,13,4,0.255446,0.0703884,0.177548,0.396448,0.312696,0.388683,0.306966,0.701379,0.133237,4.84176,0.29269,0.930823,-0.162064,72.9096,-3.18392,98.0145,0.76876,7.63538,-0.7466943860054016,14.535379886627197,3.60291,295.489990234375,,,,,,,658.9,4.422147651,658.9,4.422147651,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Michael Harris II","ATL",134,581,546,150,97,27,4,22,71,78,24,1,112,5,4,2,,18,5,0.275215,0.0415545,0.191938,0.2165,0.309444,0.459976,0.329028,0.76942,0.184761,5.7277,0.308196,0.499985,0.793909,76.1842,7.53456,110.509,1.29389,5.25294,8.530305862426758,7.327938795089722,3.6002,100.80999755859375,,,,,,,709.1,5.291791044,709.1,5.291791044,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Jeremy Peña","HOU",141,609,557,151,104,28,2,17,76,69,35,1,109,11,4,2,,16,5,0.270698,0.0582178,0.178302,0.326512,0.324715,0.421348,0.323959,0.746063,0.15065,5.12693,0.306921,0.619179,0.430834,77.3497,5.39163,108.283,1.05001,0.478705,6.995100975036621,7.003705412149429,3.5768,94.94000244140625,,,,,,,695.4,4.931914893,695.4,4.931914893,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Freddie Freeman","LAD",151,651,568,161,98,37,2,24,89,91,69,8,121,9,5,0,,8,2,0.283738,0.106201,0.18614,0.570545,0.367131,0.482206,0.362995,0.849337,0.198467,4.1316,0.320741,-0.73061,-0.381213,103.317,26.3959,134.758,-1.11182,-0.897077,25.706221222877502,-12.572076916694641,3.55977,67.86000061035156,,,,,,,921.5,6.102649006,921.5,6.102649006,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Nick Kurtz","ATH",143,616,534,139,74,28,1,36,97,99,73,3,173,4,4,1,,3,1,0.260982,0.118859,0.280159,0.424257,0.352024,0.520618,0.371117,0.872642,0.259636,3.66491,0.314428,0.103117,-0.774301,101.824,29.0386,137.373,-0.671184,-1.62448,26.462518870830536,-12.874478816986084,3.55943,17.5,,,,,,,903.6,6.318881118,903.6,6.318881118,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Byron Buxton","MIN",130,560,502,125,66,25,5,29,85,76,44,3,153,9,4,1,,17,2,0.248641,0.077812,0.273901,0.284088,0.317052,0.488933,0.34215,0.805985,0.240291,7.02922,0.29655,0.744922,1.89126,79.3968,13.2285,119.48,2.63618,0.407918,15.493611574172974,0.007918566465377808,3.558,71.54000091552734,,,,,,,757.3,5.825384615,757.3,5.825384615,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Pete Alonso","BAL",157,679,597,158,85,34,1,38,89,111,61,5,152,14,7,0,,2,1,0.264025,0.0902864,0.224511,0.402146,0.342732,0.514988,0.363497,0.85772,0.250963,2.62359,0.28938,-1.25459,-1.02747,108.037,27.8076,136.387,-2.28206,-2.74566,26.83811116218567,-15.470659971237183,3.55408,24.260000228881836,,,,,,,975.3,6.21210191,975.3,6.21210191,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Riley Greene","DET",151,651,584,154,91,30,3,29,85,98,58,2,176,5,4,0,,3,2,0.264005,0.0884687,0.270984,0.326473,0.33274,0.476964,0.347056,0.809705,0.212959,3.55529,0.326204,0.00497869,-1.01257,94.8916,17.9709,123.367,-1.00759,2.34233,16.92111086845398,-5.0326738357543945,3.50879,78.01000213623047,,,,,,,844.2,5.590728476,844.2,5.590728476,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Jacob Wilson","ATH",143,616,568,168,118,35,1,14,75,78,34,1,48,8,3,2,,6,2,0.294743,0.0555481,0.0776592,0.71528,0.341652,0.431712,0.336025,0.773364,0.13697,3.59365,0.301729,0.0529405,-0.848515,84.273,11.4879,113.199,-0.795574,-2.29227,8.78744512796402,4.157727003097534,3.49365,187.10000610351562,,,,,,,743.4,5.198601398,743.4,5.198601398,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Roman Anthony","BOS",146,630,536,142,89,31,3,19,92,70,83,1,156,5,4,2,,9,4,0.265614,0.131777,0.246927,0.533667,0.366977,0.440831,0.353281,0.807807,0.175217,4.89327,0.337505,0.336996,-0.757915,95.0151,20.5758,123.71,-0.420919,3.34839,17.184492886066437,-4.901605844497681,3.47519,52.790000915527344,,,,,,,814.7,5.580136986,814.7,5.580136986,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Kevin McGonigle","DET",125,539,472,121,73,29,3,16,75,64,57,0,74,4,5,2,,10,4,0.255553,0.105075,0.13744,0.76452,0.336574,0.429435,0.333458,0.766009,0.173882,4.91956,0.27052,-0.0752278,-0.63025,72.6158,8.92879,114,-0.705478,1.50785,8.188356757164001,7.08284604549408,3.46049,999,,,,,,,648,5.184,648,5.184,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","sa3022895",805808
"Manny Machado","SDP",149,644,583,153,98,28,0,26,80,90,53,4,127,3,4,0,,9,2,0.263052,0.0827578,0.196675,0.420784,0.325293,0.447737,0.332049,0.77303,0.184685,3.51351,0.29251,-0.446684,-0.107811,86.0251,9.93151,116.788,-0.554495,-0.0905862,12.259589910507202,-0.3905862420797348,3.4065,38.58000183105469,,,,,,,778.9,5.227516778,778.9,5.227516778,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Steven Kwan","CLE",154,665,593,166,125,27,3,11,86,60,61,1,61,5,4,3,,19,5,0.279327,0.0913315,0.092185,0.990741,0.349313,0.390396,0.326277,0.739708,0.111069,5.09482,0.294656,0.62042,0.50023,85.7137,7.13879,110.488,1.12065,6.86077,9.341288805007935,0.9357657432556152,3.39322,168.24000549316406,,,,,,,755.5,4.905844155,755.5,4.905844155,,,,,,,,,,,,,,,,,,,"Steven Kwan","24610",680757
"Matt Olson","ATL",159,686,595,151,85,33,1,32,91,97,81,4,165,5,4,0,,1,0,0.253266,0.117895,0.240942,0.48931,0.345509,0.473236,0.351848,0.818745,0.21997,2.47257,0.295333,-0.845693,-0.964927,102.663,21.6066,126.142,-1.81062,2.96145,19.443986654281616,-9.288554668426514,3.37415,49.029998779296875,,,,,,,912.7,5.740251572,912.7,5.740251572,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Carlos Correa","HOU",131,567,509,134,90,25,1,18,66,67,50,2,115,4,4,0,,0,0,0.262516,0.0889462,0.203667,0.436724,0.331192,0.420466,0.326823,0.751658,0.15795,2.12594,0.30555,-0.024963,-0.918607,73.3335,6.33811,110.255,-0.94357,4.7487,5.909828841686249,7.173700332641602,3.33526,280.5,,,,,,,650.8,4.967938931,650.8,4.967938931,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Will Smith","LAD",126,500,428,109,68,21,1,19,67,67,58,3,97,8,5,0,,2,1,0.255441,0.116548,0.19398,0.600826,0.351964,0.444418,0.344969,0.796382,0.188977,3.14095,0.283972,-0.815522,-0.787914,72.092,12.9659,122.409,-1.60344,-0.011211,11.686957597732544,9.138788596726954,3.3268,101.52999877929688,,,,,,,626.6,4.973015873,626.6,4.973015873,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Cody Bellinger","NYY",143,616,554,146,94,25,3,24,82,89,51,3,90,4,7,0,,11,3,0.26375,0.0826723,0.146675,0.563642,0.325913,0.448181,0.331989,0.774094,0.184432,4.92529,0.273411,0.186172,0.0484814,82.2546,9.46947,114.367,0.234653,5.65589,10.66536670923233,0.6058893203735352,3.32239,80.31999969482422,,,,,,,756.3,5.288811188,756.3,5.288811188,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Xander Bogaerts","SDP",141,609,546,144,103,27,1,13,72,60,51,2,107,5,5,1,,17,3,0.264496,0.0839604,0.1759,0.477319,0.330403,0.390645,0.315657,0.721049,0.126149,4.85711,0.304332,0.411611,1.07807,73.2443,1.28629,105.559,1.48968,-0.250096,5.501891374588013,6.274904429912567,3.27793,240.69000244140625,,,,,,,658.5,4.670212765,658.5,4.670212765,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
